Student_ID,Study_Hours,Attendance_Percent,Assignments_Completed,Sleep_Hours,Experience_Years,City,Expected_Salary_LPA
1001,4.4,56.4,9.0,4.8,3.0,Delhi,95.33
1002,9.6,83.6,5.0,8.9,1.0,Noida,132.11
1003,7.6,69.1,2.0,8.2,4.0,Gurgaon,115.16
1004,6.4,77.9,9.0,8.3,0.0,Noida,104.31
1005,2.4,95.8,5.0,5.3,7.0,Noida,98.87
1006,2.4,66.2,7.0,4.2,7.0,Delhi,97.41
1007,1.5,73.5,9.0,5.5,2.0,Noida,75.77
1008,5.0,89.0,5.0,6.7,0.0,Noida,123.12
1009,6.4,65.3,4.0,5.6,2.0,Gurgaon,102.03
1010,7.4,58.5,10.0,8.1,7.0,Gurgaon,127.16
1011,1.2,68.0,4.0,5.4,3.0,Noida,64.37
1012,9.7,62.3,10.0,6.3,1.0,Delhi,131.41
1013,8.5,96.8,3.0,6.3,0.0,Gurgaon,110.36
1014,2.9,91.4,3.0,8.2,6.0,Delhi,108.16
1015,2.6,83.5,3.0,5.0,7.0,Delhi,88.07
1016,2.7,77.4,7.0,6.1,7.0,Delhi,106.16
1017,3.7,91.2,4.0,7.5,6.0,Noida,106.84
1018,5.7,63.4,10.0,4.7,5.0,Delhi,111.11
1019,4.9,95.2,5.0,4.7,7.0,Delhi,113.0
1020,3.6,79.3,2.0,8.8,4.0,Gurgaon,97.19
1021,6.5,91.3,5.0,7.6,3.0,Delhi,108.42
1022,2.3,95.3,2.0,4.2,0.0,Gurgaon,72.5
1023,3.6,69.3,5.0,6.0,6.0,Noida,100.58
1024,4.3,60.0,5.0,6.2,4.0,Delhi,95.03
1025,5.1,65.3,9.0,7.7,6.0,Gurgaon,117.88
1026,8.1,74.2,9.0,5.3,0.0,Gurgaon,104.62
1027,2.8,91.8,8.0,4.9,2.0,Noida,85.17
1028,5.6,93.7,4.0,4.4,0.0,Noida,100.1
1029,6.3,55.3,2.0,6.1,5.0,Gurgaon,100.53
1030,1.4,78.0,2.0,7.4,3.0,Gurgaon,63.54
1031,6.5,73.8,4.0,4.3,0.0,Gurgaon,99.04
1032,2.5,65.0,7.0,8.6,5.0,Noida,95.83
1033,1.6,60.4,8.0,6.2,3.0,Noida,86.66
1034,9.5,70.2,7.0,5.2,7.0,Noida,135.11
1035,5.0,97.4,7.0,4.5,0.0,Delhi,132.18
1036,8.3,69.5,7.0,4.9,5.0,Gurgaon,130.21
1037,3.7,78.3,4.0,8.7,4.0,Noida,96.45
1038,1.9,86.6,7.0,7.2,2.0,Delhi,92.85
1039,7.2,71.4,9.0,6.6,2.0,Delhi,116.16
1040,5.0,98.7,3.0,7.3,0.0,Noida,101.74
